"tra_num_decil","rub_id_rubro","tra_mto_tramo_min","tra_mto_tramo_max"
7,216,89.000,110.000
8,216,110.000,152.000
9,216,152.000,2.355.000
0,218,50.000,50.000
1,218,50.000,129.000
2,218,129.000,236.000
4,218,236.000,559.000
5,218,559.000,814.000
7,218,814.000,1.215.000
8,218,1.215.000,1.344.000
0,220,2.000,14.000
1,220,14.000,17.000
2,220,17.000,18.000
3,220,18.000,21.000
4,220,21.000,23.000
5,220,23.000,25.000
6,220,25.000,28.000
7,220,28.000,31.000
8,220,31.000,39.000
9,220,39.000,618.000
0,222,0,33.000
1,222,33.000,43.000
2,222,43.000,52.000
3,222,52.000,60.000
4,222,60.000,71.000
5,222,71.000,84.000
6,222,84.000,100.000
7,222,100.000,130.000
8,222,130.000,184.000
9,222,184.000,3.360.000
0,224,1.000,6.000
1,224,6.000,7.000
2,224,7.000,8.000
3,224,8.000,10.000
4,224,10.000,11.000
5,224,11.000,12.000
6,224,12.000,14.000
7,224,14.000,15.000
8,224,15.000,17.000
9,224,17.000,980.000
0,226,2.000,8.000
1,226,8.000,9.000
2,226,9.000,11.000
3,226,11.000,13.000
4,226,13.000,13.000
5,226,13.000,16.000
6,226,16.000,18.000
7,226,18.000,24.000
8,226,24.000,39.000
9,226,39.000,175.000
0,228,2.000,10.000
1,228,10.000,15.000
2,228,15.000,20.000
3,228,20.000,24.000
4,228,24.000,28.000
5,228,28.000,34.000
6,228,34.000,45.000
7,228,45.000,63.000
8,228,63.000,125.000
9,228,125.000,1.900.000
0,230,1.000,20.000
1,230,20.000,28.000
2,230,28.000,34.000
3,230,34.000,40.000
4,230,40.000,47.000
5,230,47.000,52.000
6,230,52.000,61.000
7,230,61.000,74.000
8,230,74.000,99.000
9,230,99.000,554.000
0,232,0,24.000
1,232,24.000,33.000
2,232,33.000,38.000
3,232,38.000,45.000
4,232,45.000,55.000
5,232,55.000,63.000
6,232,63.000,80.000
7,232,80.000,109.000
8,232,109.000,150.000
9,232,150.000,500.000
0,234,5.000,12.000
1,234,12.000,14.000
2,234,14.000,15.000
3,234,15.000,16.000
4,234,16.000,18.000
5,234,18.000,19.000
6,234,19.000,22.000
7,234,22.000,28.000
8,234,28.000,55.000
9,234,55.000,2.746.000
0,236,3.000,13.000
1,236,13.000,17.000
2,236,17.000,20.000
3,236,20.000,24.000
4,236,24.000,30.000
5,236,30.000,35.000
6,236,35.000,48.000
7,236,48.000,56.000
8,236,56.000,99.000
9,236,99.000,247.000
0,238,0,16.000
1,238,16.000,27.000
2,238,27.000,36.000
3,238,36.000,45.000
4,238,45.000,55.000
5,238,55.000,71.000
6,238,71.000,109.000
7,238,109.000,156.000
8,238,156.000,235.000
9,238,235.000,2.625.000
0,240,0,24.000
1,240,24.000,34.000
2,240,34.000,40.000
3,240,40.000,46.000
4,240,46.000,51.000
5,240,51.000,57.000
6,240,57.000,64.000
7,240,64.000,75.000
8,240,75.000,94.000
9,240,94.000,2.064.000
0,242,10.000,12.000
1,242,12.000,17.000
2,242,17.000,23.000
3,242,23.000,24.000
4,242,24.000,38.000
5,242,38.000,50.000
6,242,50.000,81.000
7,242,81.000,91.000
8,242,91.000,145.000
9,242,145.000,625.000
0,244,8.000,10.000
1,244,10.000,11.000
2,244,11.000,12.000
3,244,12.000,13.000
4,244,13.000,13.000
5,244,13.000,14.000
6,244,14.000,18.000
7,244,18.000,18.000
8,244,18.000,19.000
9,244,19.000,115.000
0,246,14.000,15.000
1,246,15.000,17.000
2,246,17.000,37.000
3,246,37.000,50.000
4,246,50.000,53.000
5,246,53.000,59.000
6,246,59.000,61.000
7,246,61.000,75.000
8,246,75.000,104.000
9,246,104.000,786.000
0,248,0,21.000
1,248,21.000,33.000
2,248,33.000,36.000
3,248,36.000,40.000
4,248,40.000,45.000
5,248,45.000,47.000
6,248,47.000,65.000
7,248,65.000,74.000
8,248,74.000,89.000
9,248,89.000,403.000
0,250,6.000,12.000
1,250,12.000,16.000
2,250,16.000,18.000
3,250,18.000,20.000
4,250,20.000,23.000
5,250,23.000,26.000
6,250,26.000,37.000
7,250,37.000,50.000
8,250,50.000,65.000
9,250,65.000,263.000
0,299,12.000,20.000
